@relation data_set_cnpjs-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute capital_sociallicitacoes numeric
@attribute tipo=FILIAL numeric
@attribute situacao=BAIXADA numeric
@attribute natureza_juridica=206-2 numeric
@attribute natureza_juridica=213-5 numeric
@attribute natureza_juridica=230-5 numeric
@attribute natureza_juridica=306-9 numeric
@attribute natureza_juridica=399-9 numeric
@attribute natureza_juridica=224-0 numeric
@attribute natureza_juridica=205-4 numeric
@attribute natureza_juridica=214-3 numeric
@attribute natureza_juridica=223-2 numeric
@attribute natureza_juridica=207-0 numeric
@attribute natureza_juridica=401-4 numeric
@attribute natureza_juridica=204-6 numeric
@attribute participacoes numeric
@attribute vitorias numeric
@attribute class {NAO,SIM}

@data
0.000022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.017921,NAO
0.000003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.136842,0.111111,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038596,0.046595,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010526,0.017921,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.042105,0.043011,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.032258,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05614,0.02509,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014035,0.021505,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010526,0,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.02509,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010526,0.017921,NAO
0.000006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.021053,0.028674,NAO
0.000006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.021053,0.021505,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010526,0.017921,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0.000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.007168,NAO
0.000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02807,0.007168,NAO
0.000006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.02509,SIM
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.045614,0.043011,NAO
0.000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.003584,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010526,0.017921,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.017544,0.010753,NAO
0.004785,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NAO
0.004785,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.003584,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02807,0.035842,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010753,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.017544,0.017921,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.091228,0.089606,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.017544,0.02509,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000037,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.122807,0.121864,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.010753,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.045614,0.050179,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.024561,0.028674,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038596,0.046595,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.021505,SIM
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000269,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014035,0.017921,NAO
0.000003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02807,0.035842,NAO
0.000006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.007018,0.007168,NAO
0.000571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.017921,NAO
0.000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010753,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000571,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.014337,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.017544,0.021505,NAO
0.000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.007168,NAO
0.000007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.098246,0.107527,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.007168,NAO
0.000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.003584,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.024561,0.021505,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000022,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.014337,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.038596,0.043011,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.035088,0.035842,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014035,0.028674,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.007168,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02807,0.032258,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,SIM
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.045614,0.050179,NAO
0.000022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.070175,0.050179,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010753,NAO
0.000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010526,0.017921,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.021505,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.017544,0.010753,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.014337,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.021053,0.02509,NAO
0.000006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.084211,0.09319,NAO
0.00052,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014035,0.021505,NAO
0.000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000045,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.014337,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.063158,0.0681,SIM
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014035,0.021505,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010526,0.014337,NAO
0.000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010526,0.017921,NAO
0.000016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010526,0.017921,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.045614,0.050179,NAO
0.000006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.014035,0.021505,NAO
0.000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.024561,0.032258,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010526,0.014337,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.024561,0.032258,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.136842,0.139785,NAO
0.000571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.02509,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0.000074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000074,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.042105,0.043011,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.007168,NAO
0.000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.010526,0.007168,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.010526,0.003584,NAO
0.000057,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.014337,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.045614,0.050179,NAO
0.000025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.084211,0.100358,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.02509,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.112281,0.089606,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.049123,0.053763,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.014337,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017544,0.021505,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010753,NAO
0.000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.031579,0.02509,NAO
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.396491,0.394265,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0.000008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.010753,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,SIM
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.024561,0.028674,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.042105,0.050179,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0,NAO
0.000007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.014035,0.010753,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.003584,SIM
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.126316,0.125448,NAO
0.000571,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.021053,0.028674,NAO
0.000571,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010526,0,NAO
0.000571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.017544,0.02509,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010753,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.014337,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010526,0.017921,NAO
0.000571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.021053,0.028674,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02807,0.039427,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.070175,0.078853,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.003509,0.007168,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.063158,0.064516,NAO
0.000007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.108772,0.043011,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.014337,NAO
0.000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010526,0.021505,NAO
0.00003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.003584,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.021505,NAO
0.000049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007018,0.017921,NAO
0.000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.185965,0.18638,NAO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.014035,0.021505,NAO
0.000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02807,0.032258,NAO
0.000005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.045614,0.035842,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007018,0.007168,NAO
0.000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003509,0.010753,NAO
0.000571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.014035,0.021505,NAO
